Time Stamp;$pressure_measured_ECC$;
10.01.2025 12:03:24;0;
10.01.2025 12:03:25;0.01;
10.01.2025 12:03:26;0.02;
10.01.2025 12:03:27;0.02;
10.01.2025 12:03:28;0.01;
10.01.2025 12:03:29;0.02;
10.01.2025 12:03:31;0.02;
10.01.2025 12:03:32;0.03;
10.01.2025 12:03:33;0.02;
10.01.2025 12:03:34;0.02;
10.01.2025 12:03:35;0.03;
10.01.2025 12:03:37;0.03;
10.01.2025 12:03:38;0.04;
10.01.2025 12:03:39;0.03;
10.01.2025 12:03:40;0.04;
10.01.2025 12:03:42;0.04;
10.01.2025 12:03:43;0.05;
10.01.2025 12:03:44;0.04;
10.01.2025 12:03:45;0.04;
10.01.2025 12:03:46;0.05;
10.01.2025 12:03:47;0.06;
10.01.2025 12:03:50;0.06;
10.01.2025 12:03:51;0.05;
10.01.2025 12:03:52;0.05;
10.01.2025 12:03:53;0.06;
10.01.2025 12:03:54;0.05;
10.01.2025 12:03:55;0.06;
10.01.2025 12:03:56;0.07;
10.01.2025 12:04:00;0.07;
10.01.2025 12:04:01;0.08;
10.01.2025 12:04:03;0.08;
10.01.2025 12:04:04;0.09;
10.01.2025 12:04:08;0.09;
10.01.2025 12:04:09;0.1;
10.01.2025 12:04:10;0.09;
10.01.2025 12:04:11;0.1;
10.01.2025 12:04:14;0.1;
10.01.2025 12:04:15;0.11;
10.01.2025 12:04:18;0.11;
10.01.2025 12:04:19;0.1;
10.01.2025 12:04:20;0.12;
10.01.2025 12:04:21;0.12;
10.01.2025 12:04:22;0.13;
10.01.2025 12:04:23;0.12;
10.01.2025 12:04:25;0.12;
10.01.2025 12:04:26;0.13;
10.01.2025 12:04:27;0.13;
10.01.2025 12:04:28;0.12;
10.01.2025 12:04:29;0.13;
10.01.2025 12:04:30;0.13;
10.01.2025 12:04:31;0.14;
10.01.2025 12:04:32;0.13;
10.01.2025 12:04:33;0.15;
10.01.2025 12:04:34;0.14;
10.01.2025 12:04:35;0.15;
10.01.2025 12:04:36;0.14;
10.01.2025 12:04:37;0.14;
10.01.2025 12:04:38;0.15;
10.01.2025 12:04:39;0.16;
10.01.2025 12:04:40;0.15;
10.01.2025 12:04:41;0.15;
10.01.2025 12:04:42;0.16;
10.01.2025 12:04:47;0.16;
10.01.2025 12:04:48;0.17;
10.01.2025 12:04:50;0.17;
10.01.2025 12:04:51;0.18;
10.01.2025 12:04:53;0.18;
10.01.2025 12:04:54;0.17;
10.01.2025 12:04:55;0.18;
10.01.2025 12:04:56;0.18;
10.01.2025 12:04:57;0.19;
10.01.2025 12:05:00;0.19;
10.01.2025 12:05:01;0.18;
10.01.2025 12:05:02;0.19;
10.01.2025 12:05:03;0.2;
10.01.2025 12:05:04;0.2;
10.01.2025 12:05:05;0.19;
10.01.2025 12:05:06;0.2;
10.01.2025 12:05:08;0.2;
10.01.2025 12:05:09;0.21;
10.01.2025 12:05:14;0.21;
10.01.2025 12:05:15;0.22;
10.01.2025 12:05:17;0.22;
10.01.2025 12:05:18;0.23;
10.01.2025 12:05:19;0.22;
10.01.2025 12:05:20;0.23;
10.01.2025 12:05:21;0.22;
10.01.2025 12:05:22;0.22;
10.01.2025 12:05:23;0.23;
10.01.2025 12:05:24;0.23;
10.01.2025 12:05:25;0.24;
10.01.2025 12:05:26;0.23;
10.01.2025 12:05:27;0.24;
10.01.2025 12:05:31;0.24;
10.01.2025 12:05:32;0.25;
10.01.2025 12:05:33;0.25;
10.01.2025 12:05:34;0.26;
10.01.2025 12:05:35;0.25;
10.01.2025 12:05:36;0.25;
10.01.2025 12:05:37;0.26;
10.01.2025 12:05:38;0.26;
10.01.2025 12:05:39;0.27;
10.01.2025 12:05:40;0.26;
10.01.2025 12:05:42;0.26;
10.01.2025 12:05:43;0.27;
10.01.2025 12:05:51;0.27;
10.01.2025 12:05:52;0.28;
10.01.2025 12:05:54;0.28;
10.01.2025 12:05:55;0.29;
10.01.2025 12:05:56;0.28;
10.01.2025 12:05:57;0.29;
10.01.2025 12:05:58;0.3;
10.01.2025 12:05:59;0.29;
10.01.2025 12:06:00;0.29;
10.01.2025 12:06:01;0.3;
10.01.2025 12:06:03;0.3;
10.01.2025 12:06:04;0.31;
10.01.2025 12:06:05;0.3;
10.01.2025 12:06:06;0.31;
10.01.2025 12:06:07;0.3;
10.01.2025 12:06:08;0.31;
10.01.2025 12:06:09;0.31;
10.01.2025 12:06:10;0.32;
10.01.2025 12:06:11;0.31;
10.01.2025 12:06:12;0.31;
10.01.2025 12:06:13;0.32;
10.01.2025 12:06:15;0.32;
10.01.2025 12:06:16;0.33;
10.01.2025 12:06:23;0.33;
10.01.2025 12:06:24;0.34;
10.01.2025 12:06:29;0.34;
10.01.2025 12:06:30;0.35;
10.01.2025 12:06:31;0.34;
10.01.2025 12:06:32;0.34;
10.01.2025 12:06:33;0.36;
10.01.2025 12:06:34;0.36;
10.01.2025 12:06:35;0.35;
10.01.2025 12:06:36;0.35;
10.01.2025 12:06:37;0.36;
10.01.2025 12:06:40;0.36;
10.01.2025 12:06:41;0.37;
10.01.2025 12:06:44;0.37;
10.01.2025 12:06:45;0.36;
10.01.2025 12:06:46;0.38;
10.01.2025 12:06:47;0.37;
10.01.2025 12:06:48;0.37;
10.01.2025 12:06:49;0.38;
10.01.2025 12:06:50;0.38;
10.01.2025 12:06:51;0.39;
10.01.2025 12:06:52;0.39;
10.01.2025 12:06:53;0.38;
10.01.2025 12:06:54;0.38;
10.01.2025 12:06:55;0.39;
10.01.2025 12:06:57;0.39;
10.01.2025 12:06:58;0.4;
10.01.2025 12:06:59;0.39;
10.01.2025 12:07:00;0.4;
10.01.2025 12:07:01;0.41;
10.01.2025 12:07:02;0.39;
10.01.2025 12:07:03;0.4;
10.01.2025 12:07:04;0.4;
10.01.2025 12:07:05;0.41;
10.01.2025 12:07:09;0.41;
10.01.2025 12:07:10;0.42;
10.01.2025 12:07:11;0.41;
10.01.2025 12:07:12;0.42;
10.01.2025 12:07:13;0.41;
10.01.2025 12:07:14;0.42;
10.01.2025 12:07:15;0.43;
10.01.2025 12:07:16;0.42;
10.01.2025 12:07:17;0.42;
10.01.2025 12:07:18;0.43;
10.01.2025 12:07:21;0.43;
10.01.2025 12:07:22;0.44;
10.01.2025 12:07:23;0.43;
10.01.2025 12:07:24;0.44;
10.01.2025 12:07:25;0.43;
10.01.2025 12:07:26;0.45;
10.01.2025 12:07:27;0.44;
10.01.2025 12:07:29;0.44;
10.01.2025 12:07:30;0.45;
10.01.2025 12:07:36;0.45;
10.01.2025 12:07:37;0.46;
10.01.2025 12:07:40;0.46;
10.01.2025 12:07:41;0.47;
10.01.2025 12:07:42;0.46;
10.01.2025 12:07:43;0.48;
10.01.2025 12:07:44;0.47;
10.01.2025 12:07:46;0.47;
10.01.2025 12:07:47;0.48;
10.01.2025 12:07:48;0.47;
10.01.2025 12:07:49;0.48;
10.01.2025 12:07:51;0.48;
10.01.2025 12:07:52;0.49;
10.01.2025 12:07:53;0.48;
10.01.2025 12:07:54;0.49;
10.01.2025 12:07:55;0.49;
10.01.2025 12:07:56;0.48;
10.01.2025 12:07:57;0.49;
10.01.2025 12:07:58;0.5;
10.01.2025 12:07:59;0.49;
10.01.2025 12:08:00;0.49;
10.01.2025 12:08:01;0.5;
10.01.2025 12:08:07;0.5;
10.01.2025 12:08:08;0.51;
10.01.2025 12:08:13;0.51;
10.01.2025 12:08:14;0.52;
10.01.2025 12:08:15;0.51;
10.01.2025 12:08:16;0.52;
10.01.2025 12:08:17;0.51;
10.01.2025 12:08:18;0.52;
10.01.2025 12:08:19;0.51;
10.01.2025 12:08:20;0.51;
10.01.2025 12:08:21;0.52;
10.01.2025 12:08:22;0.53;
10.01.2025 12:08:24;0.53;
10.01.2025 12:08:25;0.54;
10.01.2025 12:08:26;0.53;
10.01.2025 12:08:28;0.53;
10.01.2025 12:08:29;0.54;
10.01.2025 12:08:30;0.53;
10.01.2025 12:08:31;0.53;
10.01.2025 12:08:32;0.54;
10.01.2025 12:08:33;0.54;
10.01.2025 12:08:34;0.55;
10.01.2025 12:08:40;0.55;
10.01.2025 12:08:41;0.56;
10.01.2025 12:08:42;0.55;
10.01.2025 12:08:43;0.56;
10.01.2025 12:08:44;0.56;
10.01.2025 12:08:45;0.57;
10.01.2025 12:08:46;0.56;
10.01.2025 12:08:47;0.56;
10.01.2025 12:08:48;0.57;
10.01.2025 12:08:49;0.57;
10.01.2025 12:08:50;0.56;
10.01.2025 12:08:51;0.57;
10.01.2025 12:08:54;0.57;
10.01.2025 12:08:55;0.58;
10.01.2025 12:09:01;0.58;
10.01.2025 12:09:02;0.59;
10.01.2025 12:09:14;0.59;
10.01.2025 12:09:15;0.6;
10.01.2025 12:09:16;0.61;
10.01.2025 12:09:19;0.61;
10.01.2025 12:09:20;0.6;
10.01.2025 12:09:21;0.61;
10.01.2025 12:09:22;0.61;
10.01.2025 12:09:23;0.62;
10.01.2025 12:09:24;0.61;
10.01.2025 12:09:25;0.62;
10.01.2025 12:09:27;0.62;
10.01.2025 12:09:28;0.61;
10.01.2025 12:09:29;0.62;
10.01.2025 12:09:30;0.64;
10.01.2025 12:09:31;0.63;
10.01.2025 12:09:32;0.62;
10.01.2025 12:09:33;0.63;
10.01.2025 12:09:35;0.63;
10.01.2025 12:09:36;0.62;
10.01.2025 12:09:37;0.63;
10.01.2025 12:09:38;0.63;
10.01.2025 12:09:39;0.64;
10.01.2025 12:09:41;0.64;
10.01.2025 12:09:42;0.63;
10.01.2025 12:09:43;0.64;
10.01.2025 12:09:44;0.64;
10.01.2025 12:09:45;0.65;
10.01.2025 12:09:51;0.65;
10.01.2025 12:09:52;0.66;
10.01.2025 12:09:53;0.65;
10.01.2025 12:09:54;0.66;
10.01.2025 12:10:00;0.66;
10.01.2025 12:10:01;0.67;
10.01.2025 12:10:02;0.66;
10.01.2025 12:10:03;0.67;
