Time (s)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Charge (C)
1.59831499596464	0.020037841796875	0.186859130859375	0
2.59831499343989	0.0200286865234375	0.1824951171875	0.184677124023438
3.59831499091513	0.020037841796875	0.178985595703125	0.36541748046875
4.59831498839037	0.020037841796875	0.176513671875	0.543167114257813
5.59831498586561	0.020037841796875	0.1748046875	0.718826293945313
6.59831498334086	0.0200347900390625	0.173492431640625	0.892974853515625
7.5983149808161	0.020037841796875	0.17236328125	1.06590270996094
8.59831497829134	0.0200286865234375	0.171478271484375	1.23782348632813
9.59831497576658	0.0200347900390625	0.170745849609375	1.408935546875
10.5983149732418	0.0200408935546875	0.170074462890625	1.579345703125
11.5983149707171	0.0200347900390625	0.16949462890625	1.74913024902344
12.5983149681923	0.02003173828125	0.169036865234375	1.91839599609375
13.5983149656676	0.0200286865234375	0.1685791015625	2.08720397949219
14.5983149631428	0.020037841796875	0.168121337890625	2.25555419921875
15.598314960618	0.02001953125	0.16766357421875	2.42344665527344
16.5983149580933	0.02001953125	0.166534423828125	2.59054565429688
17.5983149555685	0.02003173828125	0.16558837890625	2.75660705566406
18.5983149530438	0.020037841796875	0.165313720703125	2.92205810546875
19.598314950519	0.0200286865234375	0.1650390625	3.08723449707031
20.5983149479943	0.020025634765625	0.164764404296875	3.25213623046875
21.5983149454695	0.0200469970703125	0.16455078125	3.41679382324219
22.5983149429447	0.0200347900390625	0.164459228515625	3.581298828125
23.59831494042	0.020025634765625	0.164306640625	3.74568176269531
24.5983149378952	0.020025634765625	0.164093017578125	3.90988159179688
25.5983149353705	0.020025634765625	0.16387939453125	4.07386779785156
26.5983149328457	0.02003173828125	0.1636962890625	4.23765563964844
27.598314930321	0.020025634765625	0.163360595703125	4.40118408203125
28.5983149277962	0.020037841796875	0.1629638671875	4.56434631347656
29.5983149252714	0.0200439453125	0.162109375	4.72688293457031
30.5983149227467	0.020037841796875	0.161956787109375	4.888916015625
31.5983149202219	0.02003173828125	0.161773681640625	5.05078125
32.5983149176972	0.020037841796875	0.161651611328125	5.21249389648438
33.5983149151724	0.020037841796875	0.16156005859375	5.37409973144531
34.5983149126477	0.020025634765625	0.16143798828125	5.53559875488281
35.5983149101229	0.0200347900390625	0.161407470703125	5.697021484375
36.5983149075981	0.020025634765625	0.161376953125	5.85841369628906
37.5983149050734	0.02003173828125	0.16131591796875	6.01976013183594
38.5983149025486	0.020037841796875	0.16119384765625	6.18101501464844
39.5983149000239	0.02005615234375	0.16107177734375	6.34214782714844
40.5983148974991	0.02003173828125	0.160888671875	6.50312805175781
41.5983148949744	0.0200347900390625	0.1607666015625	6.66395568847656
42.5983148924496	0.02003173828125	0.16070556640625	6.82469177246094
43.5983148899248	0.02003173828125	0.160400390625	6.98524475097656
44.5983148874001	0.0200469970703125	0.159454345703125	7.14517211914063
45.5983148848753	0.020037841796875	0.159088134765625	7.304443359375
46.5983148823506	0.020037841796875	0.158966064453125	7.46347045898438
47.5983148798258	0.0200347900390625	0.158966064453125	7.6224365234375
48.598314877301	0.0200225830078125	0.158905029296875	7.7813720703125
49.5983148747763	0.0200286865234375	0.158843994140625	7.94024658203125
50.5983148722515	0.020037841796875	0.1588134765625	8.09907531738281
51.5983148697268	0.0200439453125	0.158782958984375	8.25787353515625
52.598314867202	0.02003173828125	0.158782958984375	8.41665649414063
53.5983148646773	0.0200347900390625	0.158721923828125	8.57540893554688
54.5983148621525	0.02003173828125	0.158477783203125	8.7340087890625
55.5983148596277	0.020037841796875	0.157989501953125	8.89224243164063
56.598314857103	0.0200225830078125	0.15728759765625	9.04988098144531
57.5983148545782	0.020037841796875	0.15716552734375	9.20710754394531
58.5983148520535	0.0200408935546875	0.157135009765625	9.3642578125
59.5983148495287	0.0200286865234375	0.157073974609375	9.5213623046875
60.598314847004	0.020037841796875	0.157012939453125	9.67840576171875
61.5983148444792	0.020037841796875	0.157012939453125	9.83541870117188
62.5983148419544	0.0200225830078125	0.157012939453125	9.992431640625
63.5983148394297	0.0200408935546875	0.156982421875	10.1494293212891
64.5983148369049	0.0200286865234375	0.156768798828125	10.3063049316406
65.5983148343802	0.0200347900390625	0.156707763671875	10.4630432128906
66.5983148318554	0.020037841796875	0.156707763671875	10.6197509765625
67.5983148293307	0.0200408935546875	0.1566162109375	10.7764129638672
68.5983148268059	0.0200408935546875	0.156585693359375	10.9330139160156
69.5983148242811	0.0200439453125	0.15655517578125	11.0895843505859
70.5983148217564	0.020037841796875	0.156463623046875	11.24609375
71.5983148192316	0.020050048828125	0.1563720703125	11.4025115966797
72.5983148167069	0.0200531005859375	0.156036376953125	11.5587158203125
73.5983148141821	0.0200286865234375	0.15484619140625	11.7141571044922
74.5983148116574	0.0200408935546875	0.154571533203125	11.8688659667969
75.5983148091326	0.0200408935546875	0.154510498046875	12.0234069824219
76.5983148066078	0.02003173828125	0.15447998046875	12.1779022216797
77.5983148040831	0.020050048828125	0.1544189453125	12.3323516845703
78.5983148015583	0.0200469970703125	0.1544189453125	12.4867706298828
79.5983147990336	0.02003173828125	0.1544189453125	12.6411895751953
80.5983147965088	0.0200408935546875	0.154449462890625	12.7956237792969
81.5983147939841	0.0200408935546875	0.1544189453125	12.9500579833984
82.5983147914593	0.0200408935546875	0.154205322265625	13.1043701171875
83.5983147889345	0.0200408935546875	0.154052734375	13.2584991455078
84.5983147864098	0.02003173828125	0.153717041015625	13.4123840332031
85.598314783885	0.02003173828125	0.152984619140625	13.5657348632813
86.5983147813603	0.020037841796875	0.152740478515625	13.7185974121094
87.5983147788355	0.0200408935546875	0.15277099609375	13.8713531494141
88.5983147763108	0.0200286865234375	0.152740478515625	14.0241088867188
89.598314773786	0.0200347900390625	0.152740478515625	14.1768493652344
90.5983147712612	0.02003173828125	0.152740478515625	14.32958984375
91.5983147687365	0.0200469970703125	0.15277099609375	14.4823455810547
92.5983147662117	0.020037841796875	0.152740478515625	14.6351013183594
93.598314763687	0.0200408935546875	0.15277099609375	14.7878570556641
94.5983147611622	0.02003173828125	0.152679443359375	14.9405822753906
95.5983147586375	0.02003173828125	0.152679443359375	15.09326171875
96.5983147561127	0.0200439453125	0.152618408203125	15.2459106445313
97.5983147535879	0.0200347900390625	0.1517333984375	15.3980865478516
98.5983147510632	0.020037841796875	0.151092529296875	15.5494995117188
99.5983147485384	0.020025634765625	0.151092529296875	15.7005920410156
100.598314746014	0.0200286865234375	0.151153564453125	15.8517150878906
101.598314743489	0.0200469970703125	0.151153564453125	16.0028686523438
102.598314740964	0.02003173828125	0.151123046875	16.1540069580078
103.598314738439	0.020050048828125	0.15106201171875	16.3050994873047
104.598314735915	0.0200347900390625	0.1510009765625	16.4561309814453
105.59831473339	0.0200286865234375	0.15093994140625	16.6071014404297
106.598314730865	0.0200286865234375	0.150909423828125	16.7580261230469
107.59831472834	0.02003173828125	0.150909423828125	16.908935546875
108.598314725816	0.020037841796875	0.15093994140625	17.0598602294922
109.598314723291	0.020050048828125	0.15087890625	17.2107696533203
110.598314720766	0.020037841796875	0.1507568359375	17.3615875244141
111.598314718241	0.02003173828125	0.1495361328125	17.5117340087891
112.598314715717	0.02005615234375	0.149200439453125	17.6611022949219
113.598314713192	0.0200408935546875	0.149200439453125	17.810302734375
114.598314710667	0.020037841796875	0.149169921875	17.9594879150391
115.598314708142	0.020037841796875	0.14910888671875	18.1086273193359
116.598314705618	0.020013427734375	0.149078369140625	18.2577209472656
117.598314703093	0.0200408935546875	0.14910888671875	18.4068145751953
118.598314700568	0.0200347900390625	0.14910888671875	18.5559234619141
119.598314698043	0.0200286865234375	0.149078369140625	18.7050170898438
120.598314695519	0.02003173828125	0.14910888671875	18.8541107177734
121.598314692994	0.020037841796875	0.14910888671875	19.0032196044922
122.598314690469	0.0200439453125	0.148895263671875	19.1522216796875
123.598314687944	0.020037841796875	0.14813232421875	19.3007354736328
124.598314685419	0.020025634765625	0.1475830078125	19.4485931396484
125.598314682895	0.020037841796875	0.1475830078125	19.5961761474609
126.59831468037	0.020025634765625	0.14764404296875	19.7437896728516
127.598314677845	0.020037841796875	0.147552490234375	19.8913879394531
128.59831467532	0.0200286865234375	0.147491455078125	20.0389099121094
129.598314672796	0.020025634765625	0.147491455078125	20.1864013671875
130.598314670271	0.0200439453125	0.147491455078125	20.3338928222656
131.598314667746	0.0200286865234375	0.147491455078125	20.4813842773438
132.598314665221	0.0200286865234375	0.14752197265625	20.6288909912109
133.598314662697	0.0200347900390625	0.147552490234375	20.7764282226563
134.598314660172	0.0200286865234375	0.147613525390625	20.9240112304688
135.598314657647	0.0200347900390625	0.147552490234375	21.0715942382813
136.598314655122	0.0200347900390625	0.14752197265625	21.2191314697266
137.598314652598	0.020037841796875	0.14642333984375	21.3661041259766
138.598314650073	0.0200408935546875	0.14581298828125	21.5122222900391
